checking_status,duration,credit_history,purpose,credit_amount,savings,employment,installment_rate,personal_status_sex,other_debtors,residence_since,property,age,other_installment,housing,existing_credits,job,num_dependents,telephone,foreign_worker,target,default,thin_file,income_proxy,country
A14,6,A33,A43,233.0,A61,A73,3,A92,A101,2,A121,24,A143,A152,1,A173,1,A191,A201,1,0,0,5688.0,INDIA
A12,12,A32,A43,408.0,A65,A73,2,A94,A101,1,A121,25,A143,A152,1,A173,1,A192,A201,2,1,0,9502.0,INDIA
A14,24,A34,A41,1583.0,A64,A73,4,A93,A101,2,A121,27,A143,A152,2,A173,1,A191,A201,1,0,0,25175.0,INDIA
A14,18,A32,A40,750.0,A65,A74,4,A93,A101,3,A122,32,A143,A152,1,A173,1,A191,A202,1,0,0,17608.0,INDIA
A14,18,A31,A40,1689.0,A61,A75,2,A93,A101,4,A124,39,A141,A152,2,A174,2,A192,A201,2,1,1,46764.0,INDIA
A14,7,A34,A43,176.0,A65,A75,4,A93,A101,2,A122,46,A143,A151,2,A172,1,A192,A201,1,0,0,2220.0,INDIA
A14,12,A32,A42,325.0,A63,A73,4,A92,A101,4,A123,29,A143,A151,1,A172,1,A191,A201,2,1,0,5441.0,INDIA
A14,9,A34,A40,575.0,A61,A73,4,A93,A101,4,A123,48,A143,A152,3,A173,1,A192,A201,1,0,0,8700.0,INDIA
A14,18,A33,A42,529.0,A61,A74,4,A92,A101,1,A121,22,A143,A152,1,A173,1,A191,A201,2,1,1,9480.0,INDIA
A14,24,A34,A41,956.0,A61,A75,4,A92,A101,2,A123,41,A143,A151,2,A174,1,A192,A201,1,0,0,23006.0,INDIA
A11,24,A33,A43,397.0,A61,A72,4,A92,A101,2,A123,29,A143,A151,1,A172,1,A192,A201,2,1,0,7681.0,INDIA
A14,36,A34,A43,865.0,A65,A75,4,A93,A101,2,A123,51,A143,A152,1,A173,1,A192,A201,1,0,0,18204.0,INDIA
A11,24,A34,A41,1828.0,A61,A71,2,A93,A101,4,A124,75,A143,A153,2,A174,1,A192,A201,1,0,0,30215.0,INDIA
A11,6,A32,A44,93.0,A61,A72,4,A92,A101,1,A121,27,A143,A152,1,A173,1,A191,A201,1,0,0,1254.0,INDIA
A12,36,A32,A46,3860.0,A62,A73,1,A93,A101,4,A124,47,A143,A153,1,A173,2,A192,A201,2,1,0,60594.0,INDIA
A14,10,A34,A42,579.0,A61,A72,1,A92,A101,3,A121,23,A143,A151,2,A173,1,A191,A201,1,0,1,15129.0,INDIA
A12,20,A33,A41,1994.0,A65,A74,3,A93,A101,4,A122,36,A141,A151,2,A174,2,A192,A201,1,0,0,43075.0,INDIA
