checking_status,duration,credit_history,purpose,credit_amount,savings,employment,installment_rate,personal_status_sex,other_debtors,residence_since,property,age,other_installment,housing,existing_credits,job,num_dependents,telephone,foreign_worker,target,default,thin_file
A14,25,A30,A49,5885,A62,A73,3,A93,A101,4,A124,47,A142,A152,4,A172,1,A191,A201,2,1,0
A12,54,A32,A49,15208,A64,A74,2,A93,A101,2,A123,44,A142,A152,3,A173,1,A191,A201,1,0,0
A11,12,A34,A43,1896,A61,A73,4,A93,A101,4,A121,30,A143,A152,1,A173,1,A191,A201,1,0,0
A14,36,A32,A40,4241,A65,A72,1,A92,A101,3,A122,35,A143,A152,2,A172,1,A192,A201,2,1,1
A12,24,A32,A42,3123,A61,A73,4,A92,A101,2,A123,27,A143,A152,1,A173,1,A191,A201,1,0,0
A13,18,A34,A41,2835,A63,A75,3,A93,A101,4,A122,48,A143,A152,1,A173,1,A192,A201,1,0,0
A11,48,A30,A40,6948,A61,A73,2,A93,A101,4,A124,31,A143,A153,1,A174,1,A192,A201,2,1,0
A14,9,A34,A43,1289,A61,A74,4,A93,A103,1,A121,25,A143,A152,1,A173,1,A191,A201,1,0,0
A12,30,A32,A40,2333,A61,A75,4,A93,A101,2,A122,28,A143,A152,1,A173,1,A191,A201,1,0,0
A11,15,A32,A43,1403,A61,A73,2,A92,A101,3,A121,22,A143,A151,1,A173,1,A191,A201,1,0,0
A14,24,A34,A40,1474,A65,A72,4,A92,A101,1,A121,33,A143,A152,1,A172,1,A191,A201,1,0,1
A12,36,A32,A42,6758,A61,A74,3,A93,A101,4,A123,40,A143,A152,1,A173,1,A192,A201,2,1,0
A13,12,A34,A43,1295,A61,A72,4,A92,A101,1,A121,25,A143,A151,1,A173,1,A191,A201,1,0,1
A11,21,A32,A40,2445,A65,A75,3,A93,A101,4,A122,42,A143,A152,1,A173,1,A192,A201,1,0,0
A14,42,A30,A49,7882,A61,A74,2,A93,A103,4,A124,45,A143,A153,1,A173,2,A191,A201,2,1,0
