checking_status,duration,credit_history,purpose,credit_amount,savings,employment,installment_rate,personal_status_sex,other_debtors,residence_since,property,age,other_installment,housing,existing_credits,job,num_dependents,telephone,foreign_worker,target,default,thin_file,income_proxy,country
A12,51,A33,A45,925.0,A65,A73,4,A91,A101,3,A121,27,A143,A153,2,A173,1,A191,A202,1,0,0,95951.0,INDIA
A11,61,A32,A44,4508.0,A63,A74,2,A91,A102,4,A121,57,A142,A151,3,A173,1,A192,A201,1,0,1,262998.0,INDIA
A14,25,A30,A49,1648.0,A62,A73,3,A93,A101,4,A124,47,A142,A152,4,A172,1,A191,A201,2,1,1,48200.0,INDIA
A12,18,A34,A43,531.0,A61,A73,4,A93,A101,2,A123,31,A143,A152,1,A173,1,A191,A201,1,0,0,19800.0,INDIA
A11,36,A32,A40,1187.0,A65,A72,1,A92,A101,3,A122,35,A143,A152,2,A172,1,A192,A201,2,1,1,41200.0,INDIA
A13,24,A32,A42,874.0,A61,A73,4,A92,A101,2,A123,27,A143,A152,1,A173,1,A191,A201,1,0,0,28900.0,INDIA
A14,9,A34,A43,361.0,A61,A74,4,A93,A103,1,A121,25,A143,A152,1,A173,1,A191,A201,1,0,1,14500.0,INDIA
A12,30,A32,A40,653.0,A61,A75,4,A93,A101,2,A122,28,A143,A152,1,A173,1,A191,A201,1,0,0,22100.0,INDIA
A11,15,A32,A43,393.0,A61,A73,2,A92,A101,3,A121,22,A143,A151,1,A173,1,A191,A201,1,0,1,16800.0,INDIA
A14,24,A34,A40,413.0,A65,A72,4,A92,A101,1,A121,33,A143,A152,1,A172,1,A191,A201,1,0,1,15200.0,INDIA
A12,36,A32,A42,1892.0,A61,A74,3,A93,A101,4,A123,40,A143,A152,1,A173,1,A192,A201,2,1,0,67500.0,INDIA
A13,12,A34,A43,362.0,A61,A72,4,A92,A101,1,A121,25,A143,A151,1,A173,1,A191,A201,1,0,1,13900.0,INDIA
A11,21,A32,A40,684.0,A65,A75,3,A93,A101,4,A122,42,A143,A152,1,A173,1,A192,A201,1,0,0,25100.0,INDIA
A14,42,A30,A49,2207.0,A61,A74,2,A93,A103,4,A124,45,A143,A153,1,A173,2,A191,A201,2,1,0,81200.0,INDIA
A12,20,A34,A41,1104.0,A63,A75,2,A93,A101,3,A122,38,A143,A152,1,A173,1,A192,A201,1,0,0,39800.0,INDIA
